2.000000000000000000e+00,2.469374439110074565e-02,2.518568515777587891e+00
3.000000000000000000e+00,6.684305887104309563e-02,2.258964300155639648e+00
4.000000000000000000e+00,5.353109803295297286e-02,2.203552961349487305e+00
5.000000000000000000e+00,1.720396889613067803e-01,2.186660051345825195e+00
6.000000000000000000e+00,6.304632910875437868e-02,2.176890611648559570e+00
7.000000000000000000e+00,1.001121761862865667e-01,2.195741415023803711e+00
8.000000000000000000e+00,1.090489229560941652e-02,2.191300153732299805e+00
9.000000000000000000e+00,4.889706464499558869e-02,2.185020923614501953e+00
1.000000000000000000e+01,1.027938944798675591e-01,2.178496122360229492e+00
1.100000000000000000e+01,3.461124135537799185e-02,2.172079801559448242e+00
1.200000000000000000e+01,1.018405835411514693e-01,2.162312269210815430e+00
1.300000000000000000e+01,6.398788158563609163e-02,2.157537221908569336e+00
1.400000000000000000e+01,7.197674242831769709e-02,2.150331735610961914e+00
1.500000000000000000e+01,6.738375872635979369e-02,2.130918502807617188e+00
1.600000000000000000e+01,8.658643435781447628e-02,2.132508516311645508e+00
1.700000000000000000e+01,1.526093345066969753e-01,2.129262447357177734e+00
1.800000000000000000e+01,8.673474135763792336e-02,2.127124309539794922e+00
1.900000000000000000e+01,1.433353718994923587e-01,2.119311094284057617e+00
2.000000000000000000e+01,1.626529148880627440e-01,2.117444276809692383e+00
2.100000000000000000e+01,1.134278565117557563e-01,2.103179454803466797e+00
2.200000000000000000e+01,1.084478377778285152e-01,2.098278284072875977e+00
2.300000000000000000e+01,1.770929604028846083e-01,2.076438426971435547e+00
2.400000000000000000e+01,8.740895397261314037e-02,2.027050733566284180e+00
2.500000000000000000e+01,1.891473987955404890e-01,1.992976427078247070e+00
2.600000000000000000e+01,1.278487502951931587e-01,1.959557652473449707e+00
2.700000000000000000e+01,1.069876781208471545e-01,1.961328268051147461e+00
2.800000000000000000e+01,1.447447685583568844e-01,1.946405768394470215e+00
2.900000000000000000e+01,1.591429905392774680e-01,1.971289157867431641e+00
3.000000000000000000e+01,1.557350407092611411e-01,1.908546209335327148e+00
3.100000000000000000e+01,1.947906041085279427e-01,1.869634032249450684e+00
3.200000000000000000e+01,2.310502503753186221e-01,1.687767267227172852e+00
3.300000000000000000e+01,1.793958884212344951e-01,1.758141279220581055e+00
3.400000000000000000e+01,1.169742555176992715e-01,1.893202424049377441e+00
3.500000000000000000e+01,2.173866771915600182e-01,2.012566089630126953e+00
3.600000000000000000e+01,1.490619380942890815e-01,2.020570993423461914e+00
3.700000000000000000e+01,1.589715034660558746e-01,2.024159908294677734e+00
3.800000000000000000e+01,1.288490234332068107e-01,2.017680644989013672e+00
3.900000000000000000e+01,2.694048102266374256e-01,2.028292655944824219e+00
4.000000000000000000e+01,2.179235365940890845e-01,2.027019739151000977e+00
